"OBJECTID","COD_PROV","COD_CANT","NOM_PROV","NOM_CANT","IDPHC","IDHC","IDRGC","IGFM","EXTENSION_KM2","ELECTORES","POBLACION_CENSADA_2011","POBLACION_ESTIMADA_2015","PRESUPUESTO_2015","INGRESO_2014","GASTADO_2014","INGRESO_2013","GASTADO_2013","INGRESO_2012","GASTADO_2012"
"64","4","5","Heredia","San Rafael","13.244","0.885","0.815","75.71","48.39","33184","48924","51736","2734.800118","3440.13","2530.79","3079.73","2193.3","2684.2","2000.41"
"65","2","2","Alajuela","San Ramón","14.388","0.738","0.699","61.87","1018.64","60067","83939","88610","0","4908.04","4051.57","4194.82","3610.51","3971.93","3539.3"
"66","1","9","San José","Santa Ana","13.509","0.913","0.862","86.48","61.42","32267","53189","56570","8217.94771542","9816.75","7376.21","8365.24","6671.8","7029.66","5913.66"
"67","4","4","Heredia","Santa Bárbara","13.422","0.814","0.758","38.54","53.21","25473","37339","39843","1439.988182","3329.88","1271.31","2730.43","1124.4","2225.64","1045.39"
"68","5","3","Guanacaste","Santa Cruz","22.928","0.789","0.732","50.97","1312.27","38967","58107","62892","5983.15009683","7166.32","5885.62","7048.03","6070.77","6365.94","4928.8"
"69","4","3","Heredia","Santo Domingo","12.852","0.961","0.884","48.73","24.84","33191","44549","46710","4509.18675677","5823.12","4434.46","5074.32","3234.07","4576.51","2959.63"
"70","4","10","Heredia","Sarapiquí","21.47","0.655","0.628","57.71","2140.54","31248","64488","72218","2871.23016445","3979.78","2891.82","3568","2677.81","3974.87","3179.3"
"71","7","3","Limón","Siquirres","22.243","0.729","0.681","49.21","860.19","38721","60376","62627","2147.96454393","4077.27","2227.18","3915.39","1810.18","3810.77","2236.48"
"72","7","4","Limón","Talamanca","22.093","0.611","0.578","49.77","2809.93","18719","35874","38984","1740.17886","2766.35","2021.04","2524.53","1749.87","1920.24","1393.08"
"73","1","5","San José","Tarrazú","13.867","0.696","0.66","48.05","297.5","11733","17156","17783","1018.27225365","1707.79","1203.84","1398.53","1081.96","1459.26","929.34"
"74","1","13","San José","Tibás","12.988","0.853","0.781","59.26","8.15","55712","78506","81506","5865.93857403","4705.2","3891.85","8801.68","3923.87","6397.38","4121.52"
"75","5","8","Guanacaste","Tilarán","22.261","0.807","0.761","54.89","638.39","14364","20364","21047","1549.75895685","1863.34","1362.34","1708.13","1798.81","1491.16","1077.54"
"76","3","5","Cartago","Turrialba","13.384","0.755","0.712","63.34","1642.67","55469","72631","73453","2991.19786174","4778.87","3037.86","4304.07","2882.59","4004.1","2422.83"
"77","1","16","San José","Turrubares","14.127","0.781","0.734","28.47","415.29","4399","6066","6444","805.799209","1423.57","478.89","1105.37","396.14","1605","986.77"
"78","2","13","Alajuela","Upala","23.062","0.738","0.701","40.13","1580.67","26043","47357","50464","1798","3330.66","2562.1","2777.01","1697.23","2376.64","1734.95"
"79","2","12","Alajuela","Valverde Vega","13.799","0.75","0.74","67.56","120.25","14041","19936","20976","1313.692961","1974.29","1608.63","1707.29","1267.58","1299.32","1039.9"
"80","1","11","San José","Vázquez de Coronado","13.17","0.738","0.694","53.68","222.2","51132","64628","67937","2726.67379","3599.04","2466.29","3433.37","2327.1","3160.07","2390.44"
"81","2","11","Alajuela","Zarcero","13.756","0.726","0.697","45.9","155.13","8670","12846","13567","918.81326637","1456.63","915.61","1279.6","813.69","1082.9","757.26"
